model,id,outcome,error_types,regression_type,y0_length,y1_length
llama,gsm8k_test_0,CC,,,131,191
llama,gsm8k_test_1,CW,,overthought,78,240
llama,gsm8k_test_2,CW,,second_guessed,137,271
llama,gsm8k_test_3,CW,,second_guessed,143,144
llama,gsm8k_test_4,CW,,second_guessed,203,166
llama,gsm8k_test_5,WW,"arithmetic,incomplete",,143,178
llama,gsm8k_test_6,CC,,,111,148
llama,gsm8k_test_7,WW,"incomplete,logic,misunderstood",,240,463
llama,gsm8k_test_8,WW,"arithmetic,misunderstood",,350,277
llama,gsm8k_test_9,CW,,overthought,207,675
llama,gsm8k_test_10,CW,,overthought,107,227
llama,gsm8k_test_11,CC,,,235,19
llama,gsm8k_test_12,WC,"incomplete,logic,misunderstood",,189,256
llama,gsm8k_test_13,CW,,overthought,232,546
llama,gsm8k_test_14,CW,,changed_answer,172,309
llama,gsm8k_test_15,WC,other,,160,153
llama,gsm8k_test_16,WC,"arithmetic,misunderstood",,715,821
llama,gsm8k_test_17,CC,,,186,219
llama,gsm8k_test_18,CC,,,168,168
llama,gsm8k_test_19,CW,,overthought,218,808
llama,gsm8k_test_20,WW,"arithmetic,incomplete,logic",,383,217
llama,gsm8k_test_21,CW,,changed_answer,143,188
llama,gsm8k_test_22,CC,,,132,333
llama,gsm8k_test_23,CW,,second_guessed,95,161
llama,gsm8k_test_24,CC,,,91,125
llama,gsm8k_test_25,CW,,truncated,144,58
llama,gsm8k_test_26,CC,,,145,24
llama,gsm8k_test_27,CW,,changed_answer,166,273
llama,gsm8k_test_28,WW,"incomplete,logic,misunderstood",,243,378
llama,gsm8k_test_29,CW,,overthought,111,826
llama,gsm8k_test_30,CW,,overthought,132,672
llama,gsm8k_test_31,CC,,,170,64
llama,gsm8k_test_32,CC,,,141,87
llama,gsm8k_test_33,CC,,,158,213
llama,gsm8k_test_34,CC,,,103,249
llama,gsm8k_test_35,CW,,changed_answer,152,129
llama,gsm8k_test_36,CW,,changed_answer,150,147
llama,gsm8k_test_37,WW,"incomplete,logic,misunderstood",,834,829
llama,gsm8k_test_38,CW,,overthought,127,286
llama,gsm8k_test_39,CW,,second_guessed,298,320
llama,gsm8k_test_40,CW,,second_guessed,115,162
llama,gsm8k_test_41,CW,,second_guessed,184,183
llama,gsm8k_test_42,CC,,,104,257
llama,gsm8k_test_43,CW,,changed_answer,186,227
llama,gsm8k_test_44,WW,"incomplete,logic",,144,321
llama,gsm8k_test_45,CC,,,188,124
llama,gsm8k_test_46,WW,"arithmetic,logic,misunderstood",,174,192
llama,gsm8k_test_47,CC,,,262,36
llama,gsm8k_test_48,CC,,,77,148
llama,gsm8k_test_49,CC,,,174,384
llama,gsm8k_test_50,CW,,overthought,201,679
llama,gsm8k_test_51,CW,,second_guessed,135,210
llama,gsm8k_test_52,CW,,changed_answer,208,123
llama,gsm8k_test_53,CC,,,138,108
llama,gsm8k_test_54,CC,,,96,61
llama,gsm8k_test_55,CW,,overthought,83,174
llama,gsm8k_test_56,CC,,,84,98
llama,gsm8k_test_57,CC,,,173,191
llama,gsm8k_test_58,WW,"incomplete,logic,misunderstood",,259,500
llama,gsm8k_test_59,CC,,,115,124
llama,gsm8k_test_60,CC,,,154,763
llama,gsm8k_test_61,CC,,,104,736
llama,gsm8k_test_62,WW,"arithmetic,incomplete,logic,misunderstood",,325,766
llama,gsm8k_test_63,CC,,,219,292
llama,gsm8k_test_64,CW,,overthought,184,814
llama,gsm8k_test_65,CW,,overthought,145,352
llama,gsm8k_test_66,CC,,,170,231
llama,gsm8k_test_67,CC,,,95,302
llama,gsm8k_test_68,CC,,,100,111
llama,gsm8k_test_69,CC,,,161,200
llama,gsm8k_test_70,CW,,second_guessed,218,195
llama,gsm8k_test_71,CC,,,87,23
llama,gsm8k_test_72,CC,,,181,29
llama,gsm8k_test_73,WW,"incomplete,logic,misunderstood",,174,201
llama,gsm8k_test_74,CW,,changed_answer,322,381
llama,gsm8k_test_75,WW,"arithmetic,incomplete",,155,98
llama,gsm8k_test_76,CW,,overthought,149,815
llama,gsm8k_test_77,CC,,,120,158
llama,gsm8k_test_78,CW,,changed_answer,219,350
llama,gsm8k_test_79,CC,,,91,111
llama,gsm8k_test_80,CC,,,121,136
llama,gsm8k_test_81,CC,,,152,82
llama,gsm8k_test_82,CW,,overthought,66,650
llama,gsm8k_test_83,CC,,,97,243
llama,gsm8k_test_84,CC,,,135,110
llama,gsm8k_test_85,CC,,,118,70
llama,gsm8k_test_86,CW,,second_guessed,129,168
llama,gsm8k_test_87,WW,incomplete,,167,124
llama,gsm8k_test_88,CC,,,102,50
llama,gsm8k_test_89,WW,arithmetic,,196,238
llama,gsm8k_test_90,CC,,,130,146
llama,gsm8k_test_91,CC,,,117,13
llama,gsm8k_test_92,CW,,changed_answer,91,173
llama,gsm8k_test_93,CW,,second_guessed,92,107
llama,gsm8k_test_94,CC,,,161,82
llama,gsm8k_test_95,CW,,overthought,88,737
llama,gsm8k_test_96,CC,,,70,121
llama,gsm8k_test_97,WC,incomplete,,257,143
llama,gsm8k_test_98,CW,,overthought,160,836
llama,gsm8k_test_99,CW,,second_guessed,168,214
llama,gsm8k_test_100,CW,,changed_answer,171,128
llama,gsm8k_test_101,CW,,truncated,170,68
llama,gsm8k_test_102,CW,,second_guessed,185,268
