model,dataset,outcome,critique_type,found_error,specific,y1_length
llama,gsm8k,CC,specific_fix,True,True,224
llama,gsm8k,CC,specific_fix,True,True,161
llama,gsm8k,CC,specific_fix,True,True,207
llama,gsm8k,CC,specific_fix,True,True,139
llama,gsm8k,CC,specific_fix,True,True,158
llama,gsm8k,CC,specific_fix,True,True,337
llama,gsm8k,CC,specific_fix,True,True,391
llama,gsm8k,CC,specific_fix,True,True,134
llama,gsm8k,CC,specific_fix,True,True,255
llama,gsm8k,CC,specific_fix,True,True,313
llama,gsm8k,CC,specific_fix,True,True,235
llama,gsm8k,CC,specific_fix,True,True,136
llama,gsm8k,CC,specific_fix,True,True,757
llama,gsm8k,CC,specific_fix,True,True,180
llama,gsm8k,CC,specific_fix,True,True,249
llama,gsm8k,CC,specific_fix,True,True,273
llama,gsm8k,CC,specific_fix,True,True,194
llama,gsm8k,CC,specific_fix,True,True,389
llama,gsm8k,CC,specific_fix,True,True,203
llama,gsm8k,CC,specific_fix,True,True,298
llama,gsm8k,CC,specific_fix,True,True,197
llama,gsm8k,CC,specific_fix,True,True,792
llama,gsm8k,CC,specific_fix,True,True,103
llama,gsm8k,CC,specific_fix,True,True,249
llama,gsm8k,CC,specific_fix,True,True,290
llama,gsm8k,CC,specific_fix,True,True,194
llama,gsm8k,CC,specific_fix,True,True,131
llama,gsm8k,CC,specific_fix,True,True,150
llama,gsm8k,CC,specific_fix,True,True,266
llama,gsm8k,CC,specific_fix,True,True,188
llama,gsm8k,CC,specific_fix,True,True,200
llama,gsm8k,CC,specific_fix,True,True,320
llama,gsm8k,CC,specific_fix,True,True,104
llama,gsm8k,CC,specific_fix,True,True,136
llama,gsm8k,CC,specific_fix,True,True,234
llama,gsm8k,CC,specific_fix,True,True,164
llama,gsm8k,CC,specific_fix,True,True,145
llama,gsm8k,CC,specific_fix,True,True,126
llama,gsm8k,CC,specific_fix,True,True,178
llama,gsm8k,CC,specific_fix,True,True,257
llama,gsm8k,CC,specific_fix,True,True,140
llama,gsm8k,CC,specific_fix,True,True,126
llama,gsm8k,CC,specific_fix,True,True,354
llama,gsm8k,CC,specific_fix,True,True,584
llama,gsm8k,CC,specific_fix,True,True,155
llama,gsm8k,CC,specific_fix,True,True,198
llama,gsm8k,CC,specific_fix,True,True,251
llama,gsm8k,CC,specific_fix,True,True,202
llama,gsm8k,CC,specific_fix,True,True,137
llama,gsm8k,CC,specific_fix,True,True,99
llama,gsm8k,CW,specific_fix,True,True,652
llama,gsm8k,CW,specific_fix,True,True,263
llama,gsm8k,CW,specific_fix,True,True,788
llama,gsm8k,CW,specific_fix,True,True,720
llama,gsm8k,CW,specific_fix,True,True,821
llama,gsm8k,CW,specific_fix,True,True,781
llama,gsm8k,CW,specific_fix,True,True,738
llama,gsm8k,CW,specific_fix,True,True,753
llama,gsm8k,CW,specific_fix,True,True,681
llama,gsm8k,CW,specific_fix,True,True,724
llama,gsm8k,CW,specific_fix,True,True,844
llama,gsm8k,CW,specific_fix,True,True,191
llama,gsm8k,CW,specific_fix,True,True,281
llama,gsm8k,CW,specific_fix,True,True,744
llama,gsm8k,CW,specific_fix,True,True,528
llama,gsm8k,CW,specific_fix,True,True,529
llama,gsm8k,CW,specific_fix,True,True,568
llama,gsm8k,CW,specific_fix,True,True,284
llama,gsm8k,CW,specific_fix,True,True,534
llama,gsm8k,CW,specific_fix,True,True,784
llama,gsm8k,CW,specific_fix,True,True,825
llama,gsm8k,CW,specific_fix,True,True,787
llama,gsm8k,CW,specific_fix,True,True,691
llama,gsm8k,CW,specific_fix,True,True,593
llama,gsm8k,CW,specific_fix,True,True,813
llama,gsm8k,CW,specific_fix,True,True,191
llama,gsm8k,CW,specific_fix,True,True,836
llama,gsm8k,CW,specific_fix,True,True,705
llama,gsm8k,CW,specific_fix,True,True,338
llama,gsm8k,CW,specific_fix,True,True,248
llama,gsm8k,CW,specific_fix,True,True,828
llama,gsm8k,CW,specific_fix,True,True,742
llama,gsm8k,CW,specific_fix,True,True,683
llama,gsm8k,CW,specific_fix,True,True,338
llama,gsm8k,CW,specific_fix,True,True,359
llama,gsm8k,CW,specific_fix,True,True,478
llama,gsm8k,CW,specific_fix,True,True,643
llama,gsm8k,CW,specific_fix,True,True,661
llama,gsm8k,CW,specific_fix,True,True,295
llama,gsm8k,CW,specific_fix,True,True,731
llama,gsm8k,CW,specific_fix,True,True,370
llama,gsm8k,CW,specific_fix,True,True,720
llama,gsm8k,CW,specific_fix,True,True,750
llama,gsm8k,CW,specific_fix,True,True,283
llama,gsm8k,CW,specific_fix,True,True,808
llama,gsm8k,CW,specific_fix,True,True,303
llama,gsm8k,CW,specific_fix,True,True,572
llama,gsm8k,CW,specific_fix,True,True,612
llama,gsm8k,CW,specific_fix,True,True,215
llama,gsm8k,CW,specific_fix,True,True,170
llama,gsm8k,WC,specific_fix,True,True,217
llama,gsm8k,WC,specific_fix,True,True,260
llama,gsm8k,WC,specific_fix,True,True,255
llama,gsm8k,WC,specific_fix,True,True,123
llama,gsm8k,WC,specific_fix,True,True,406
llama,gsm8k,WC,specific_fix,True,True,235
llama,gsm8k,WC,specific_fix,True,True,140
llama,gsm8k,WC,specific_fix,True,True,316
llama,gsm8k,WC,specific_fix,True,True,249
llama,gsm8k,WC,specific_fix,True,True,276
llama,gsm8k,WC,specific_fix,True,True,331
llama,gsm8k,WC,specific_fix,True,True,464
llama,gsm8k,WC,specific_fix,True,True,297
llama,gsm8k,WC,specific_fix,True,True,220
llama,gsm8k,WC,specific_fix,True,True,150
llama,gsm8k,WC,specific_fix,True,True,161
llama,gsm8k,WC,specific_fix,True,True,268
llama,gsm8k,WC,specific_fix,True,True,267
llama,gsm8k,WC,specific_fix,True,True,236
llama,gsm8k,WC,specific_fix,True,True,162
llama,gsm8k,WC,specific_fix,True,True,164
llama,gsm8k,WC,specific_fix,True,True,650
llama,gsm8k,WC,specific_fix,True,True,272
llama,gsm8k,WC,specific_fix,True,True,161
llama,gsm8k,WC,specific_fix,True,True,260
llama,gsm8k,WC,specific_fix,True,True,372
llama,gsm8k,WC,specific_fix,True,True,231
llama,gsm8k,WC,specific_fix,True,True,307
llama,gsm8k,WC,specific_fix,True,True,285
llama,gsm8k,WC,specific_fix,True,True,331
llama,gsm8k,WC,specific_fix,True,True,178
llama,gsm8k,WC,specific_fix,True,True,172
llama,gsm8k,WC,specific_fix,True,True,308
llama,gsm8k,WC,specific_fix,True,True,93
llama,gsm8k,WC,specific_fix,True,True,400
llama,gsm8k,WC,specific_fix,True,True,275
llama,gsm8k,WC,specific_fix,True,True,328
llama,gsm8k,WC,specific_fix,True,True,143
llama,gsm8k,WC,specific_fix,True,True,384
llama,gsm8k,WC,specific_fix,True,True,391
llama,gsm8k,WC,specific_fix,True,True,292
llama,gsm8k,WC,specific_fix,True,True,193
llama,gsm8k,WC,specific_fix,True,True,386
llama,gsm8k,WC,specific_fix,True,True,466
llama,gsm8k,WC,specific_fix,True,True,405
llama,gsm8k,WC,specific_fix,True,True,217
llama,gsm8k,WC,specific_fix,True,True,329
llama,gsm8k,WC,specific_fix,True,True,247
llama,gsm8k,WC,specific_fix,True,True,333
llama,gsm8k,WC,specific_fix,True,True,180
llama,gsm8k,WW,specific_fix,True,True,284
llama,gsm8k,WW,specific_fix,True,True,290
llama,gsm8k,WW,specific_fix,True,True,554
llama,gsm8k,WW,specific_fix,True,True,744
llama,gsm8k,WW,specific_fix,True,True,715
llama,gsm8k,WW,specific_fix,True,True,585
llama,gsm8k,WW,specific_fix,True,True,221
llama,gsm8k,WW,specific_fix,True,True,829
llama,gsm8k,WW,specific_fix,True,True,688
llama,gsm8k,WW,specific_fix,True,True,417
llama,gsm8k,WW,specific_fix,True,True,327
llama,gsm8k,WW,specific_fix,True,True,219
llama,gsm8k,WW,specific_fix,True,True,310
llama,gsm8k,WW,vague_fix,True,False,249
llama,gsm8k,WW,specific_fix,True,True,739
llama,gsm8k,WW,specific_fix,True,True,395
llama,gsm8k,WW,specific_fix,True,True,577
llama,gsm8k,WW,specific_fix,True,True,348
llama,gsm8k,WW,specific_fix,True,True,696
llama,gsm8k,WW,specific_fix,True,True,382
llama,gsm8k,WW,specific_fix,True,True,446
llama,gsm8k,WW,specific_fix,True,True,511
llama,gsm8k,WW,specific_fix,True,True,738
llama,gsm8k,WW,specific_fix,True,True,197
llama,gsm8k,WW,specific_fix,True,True,729
llama,gsm8k,WW,specific_fix,True,True,753
llama,gsm8k,WW,specific_fix,True,True,289
llama,gsm8k,WW,specific_fix,True,True,307
llama,gsm8k,WW,specific_fix,True,True,739
llama,gsm8k,WW,specific_fix,True,True,326
llama,gsm8k,WW,specific_fix,True,True,174
llama,gsm8k,WW,specific_fix,True,True,118
llama,gsm8k,WW,specific_fix,True,True,281
llama,gsm8k,WW,specific_fix,True,True,806
llama,gsm8k,WW,specific_fix,True,True,832
llama,gsm8k,WW,specific_fix,True,True,738
llama,gsm8k,WW,specific_fix,True,True,667
llama,gsm8k,WW,specific_fix,True,True,335
llama,gsm8k,WW,specific_fix,True,True,291
llama,gsm8k,WW,specific_fix,True,True,802
llama,gsm8k,WW,specific_fix,True,True,714
llama,gsm8k,WW,specific_fix,True,True,711
llama,gsm8k,WW,specific_fix,True,True,195
llama,gsm8k,WW,specific_fix,True,True,413
llama,gsm8k,WW,specific_fix,True,True,679
llama,gsm8k,WW,specific_fix,True,True,371
llama,gsm8k,WW,specific_fix,True,True,767
llama,gsm8k,WW,specific_fix,True,True,282
llama,gsm8k,WW,specific_fix,True,True,435
llama,gsm8k,WW,specific_fix,True,True,372
llama,triviaqa,CC,vague_fix,True,False,73
llama,triviaqa,CC,ambiguous,False,False,75
llama,triviaqa,CC,specific_fix,True,True,158
llama,triviaqa,CC,ambiguous,False,True,39
llama,triviaqa,CC,ambiguous,False,False,38
llama,triviaqa,CC,vague_fix,True,False,101
llama,triviaqa,CC,vague_fix,True,False,61
llama,triviaqa,CC,ambiguous,False,False,66
llama,triviaqa,CC,ambiguous,False,False,29
llama,triviaqa,CC,confirmed_correct,False,False,38
llama,triviaqa,CC,vague_fix,True,False,76
llama,triviaqa,CC,specific_fix,True,True,89
llama,triviaqa,CC,ambiguous,False,True,51
llama,triviaqa,CC,vague_fix,True,False,71
llama,triviaqa,CC,ambiguous,False,True,47
