model,dataset,strategy,task_type,response_length,num_reasoning_steps,has_hedging,y0_correct,label,confidence
llama,gsm8k,s1,math,131,8,False,True,0,
llama,gsm8k,s1,math,78,3,False,True,-1,
llama,gsm8k,s1,math,137,9,False,True,-1,
llama,gsm8k,s1,math,143,5,False,True,-1,
llama,gsm8k,s1,math,203,6,False,True,-1,
llama,gsm8k,s1,math,143,9,False,False,0,
llama,gsm8k,s1,math,111,9,False,True,0,
llama,gsm8k,s1,math,240,6,False,False,0,
llama,gsm8k,s1,math,350,6,False,False,0,
llama,gsm8k,s1,math,207,9,False,True,-1,
llama,gsm8k,s1,math,107,9,False,True,-1,
llama,gsm8k,s1,math,235,9,False,True,0,
llama,gsm8k,s1,math,189,12,False,False,1,
llama,gsm8k,s1,math,232,33,False,True,-1,
llama,gsm8k,s1,math,172,15,False,True,-1,
llama,gsm8k,s1,math,160,10,False,False,1,
llama,gsm8k,s1,math,715,45,False,False,1,
llama,gsm8k,s1,math,186,17,False,True,0,
llama,gsm8k,s1,math,168,3,False,True,0,
llama,gsm8k,s1,math,218,18,False,True,-1,
llama,gsm8k,s1,math,383,29,False,False,0,
llama,gsm8k,s1,math,143,4,False,True,-1,
llama,gsm8k,s1,math,132,4,False,True,0,
llama,gsm8k,s1,math,95,2,False,True,-1,
llama,gsm8k,s1,math,91,2,False,True,0,
llama,gsm8k,s1,math,144,12,False,True,-1,
llama,gsm8k,s1,math,145,10,False,True,0,
llama,gsm8k,s1,math,166,5,False,True,-1,
llama,gsm8k,s1,math,243,3,False,False,0,
llama,gsm8k,s1,math,111,12,False,True,-1,
llama,gsm8k,s1,math,132,11,False,True,-1,
llama,gsm8k,s1,math,170,15,False,True,0,
llama,gsm8k,s1,math,141,4,False,True,0,
llama,gsm8k,s1,math,158,10,False,True,0,
llama,gsm8k,s1,math,103,8,False,True,0,
llama,gsm8k,s1,math,152,9,False,True,-1,
llama,gsm8k,s1,math,150,5,False,True,-1,
llama,gsm8k,s1,math,834,24,False,False,0,
llama,gsm8k,s1,math,127,8,False,True,-1,
llama,gsm8k,s1,math,298,14,False,True,-1,
llama,gsm8k,s1,math,115,6,False,True,-1,
llama,gsm8k,s1,math,184,3,False,True,-1,
llama,gsm8k,s1,math,104,2,False,True,0,
llama,gsm8k,s1,math,186,7,False,True,-1,
llama,gsm8k,s1,math,144,5,False,False,0,
llama,gsm8k,s1,math,188,15,False,True,0,
llama,gsm8k,s1,math,174,6,False,False,0,
llama,gsm8k,s1,math,262,19,False,True,0,
llama,gsm8k,s1,math,77,4,False,True,0,
llama,gsm8k,s1,math,174,8,False,True,0,
llama,gsm8k,s1,math,201,6,False,True,-1,
