model,dataset,confidence,count,correct,accuracy,expected_acc,gap
llama,gsm8k,1,3,1,33.33,10.0,23.33
llama,gsm8k,2,5,0,0.0,20.0,-20.0
llama,gsm8k,3,0,0,,0.3,
llama,gsm8k,4,0,0,,0.4,
llama,gsm8k,5,0,0,,0.5,
llama,gsm8k,6,2,0,0.0,60.0,-60.0
llama,gsm8k,7,0,0,,0.7,
llama,gsm8k,8,198,120,60.61,80.0,-19.39
llama,gsm8k,9,1042,922,88.48,90.0,-1.52
llama,gsm8k,10,69,65,94.2,100.0,-5.8
llama,triviaqa,1,4,2,50.0,10.0,40.0
llama,triviaqa,2,17,0,0.0,20.0,-20.0
llama,triviaqa,3,0,0,,0.3,
llama,triviaqa,4,0,0,,0.4,
llama,triviaqa,5,8,1,12.5,50.0,-37.5
llama,triviaqa,6,9,2,22.22,60.0,-37.78
llama,triviaqa,7,0,0,,0.7,
llama,triviaqa,8,154,47,30.52,80.0,-49.48
llama,triviaqa,9,173,116,67.05,90.0,-22.95
llama,triviaqa,10,635,594,93.54,100.0,-6.46
llama,strategyqa,1,15,10,66.67,10.0,56.67
llama,strategyqa,2,40,22,55.0,20.0,35.0
llama,strategyqa,3,0,0,,0.3,
llama,strategyqa,4,0,0,,0.4,
llama,strategyqa,5,24,4,16.67,50.0,-33.33
llama,strategyqa,6,98,61,62.24,60.0,2.24
llama,strategyqa,7,0,0,,0.7,
llama,strategyqa,8,1527,1014,66.4,80.0,-13.6
llama,strategyqa,9,255,202,79.22,90.0,-10.78
llama,strategyqa,10,331,263,79.46,100.0,-20.54
llama,humaneval,1,0,0,,0.1,
llama,humaneval,2,0,0,,0.2,
llama,humaneval,3,0,0,,0.3,
llama,humaneval,4,0,0,,0.4,
llama,humaneval,5,0,0,,0.5,
llama,humaneval,6,0,0,,0.6,
llama,humaneval,7,0,0,,0.7,
llama,humaneval,8,71,16,22.54,80.0,-57.46
llama,humaneval,9,90,40,44.44,90.0,-45.56
llama,humaneval,10,3,2,66.67,100.0,-33.33
mistral,gsm8k,1,17,0,0.0,10.0,-10.0
mistral,gsm8k,2,2,0,0.0,20.0,-20.0
mistral,gsm8k,3,1,1,100.0,30.0,70.0
mistral,gsm8k,4,0,0,,0.4,
