model,dataset,baseline_acc,cot_acc,s1_acc,s2_acc,sc_acc,s1_minus_sc,winner,s1_generations,sc_generations
llama,gsm8k,84.0,84.0,51.63,56.56,87.04,-35.41,SC,2,3
llama,triviaqa,76.2,76.0,75.1,82.7,74.0,1.1,S1,2,3
llama,strategyqa,68.08,60.31,49.08,59.3,59.91,-10.83,SC,2,3
llama,humaneval,35.37,37.8,17.68,41.46,29.27,-11.59,SC,2,3
mistral,gsm8k,58.91,57.7,55.88,58.98,57.39,-1.52,SC,2,3
mistral,triviaqa,77.7,78.6,77.6,77.6,78.5,-0.9,SC,2,3
mistral,strategyqa,60.66,59.61,19.65,52.01,60.13,-40.48,SC,2,3
mistral,humaneval,17.07,29.27,21.34,20.12,23.17,-1.83,SC,2,3
qwen,gsm8k,73.77,83.62,67.25,69.07,82.49,-15.24,SC,2,3
qwen,triviaqa,62.3,56.8,38.2,37.1,57.1,-18.9,SC,2,3
qwen,strategyqa,67.77,72.05,52.93,51.18,66.64,-13.71,SC,2,3
qwen,humaneval,71.95,60.37,45.73,66.46,57.93,-12.2,SC,2,3
